changes_mean,2020:Q2_over19,2020:Q3_over19,2020:Q4_over19,2021:Q1_over19,2021:Q2_over19,state,std_dev,zscore,percentile
0.899461721019331,0.8359951692841493,0.8956362334335223,0.9013233529627342,0.9229509902711537,0.9414028591450951,HI,0.022632195985184882,-3.4079167218965947,0.00032730434778613956
0.929470798045123,0.8483643796097703,0.9259129960106509,0.9366462352327785,0.959301799706838,0.9771285796655775,NV,0.022632195985184882,-2.0819703998765804,0.018672586758181526
0.9305804361467093,0.8847915888569622,0.9353373520741819,0.9459778302512933,0.9436648412696915,0.9431305682814175,AK,0.022632195985184882,-2.0329412158631226,0.021029231164980323
0.93666562328434,0.8860849221949009,0.9357272434866516,0.9357807108682545,0.9646442807387199,0.9610909591331736,WY,0.022632195985184882,-1.7640681846462618,0.03886025009308037
0.9445034814260588,0.8788341801591417,0.9401776654673593,0.9539125438129215,0.9720460976021689,0.977546920088702,CT,0.022632195985184882,-1.4177536623237497,0.07813134850564309
0.9450648339561575,0.8845743296459538,0.9462233266014154,0.9519855098872547,0.969460632606071,0.9730803710400928,LA,0.022632195985184882,-1.3929503895672675,0.08181739661289622
0.9541152483449855,0.8894812878026087,0.9498449685424479,0.9501981108670232,0.996515290760864,0.9845365837519837,OK,0.022632195985184882,-0.9930592612493407,0.16034053780001856
0.961582684112717,0.8918430449692226,0.9524308101222916,0.9638428214117801,0.9947775965748104,1.0050191474854806,IL,0.022632195985184882,-0.6631117929338637,0.25362947917339507
0.963396131261859,0.897658091969924,0.957396247042871,0.9660250531636245,0.9948749304949551,1.0010263336379202,PA,0.022632195985184882,-0.5829849174716201,0.2799517267963037
0.964759951798038,0.891819473032097,0.9690533859118842,0.9699972529200136,0.9909619958504123,1.0019676512757834,VT,0.022632195985184882,-0.5227247227882686,0.3005829155965395
0.9655125103434875,0.8965729855457955,0.9552890813977493,0.9628304375756176,1.0030561803258076,1.0098138668724674,NJ,0.022632195985184882,-0.48947304248547513,0.3122534175689853
0.9659038711186412,0.892937739766403,0.9640745369500059,0.9726004004427625,0.9902991523021691,1.009607526131865,MI,0.022632195985184882,-0.4721808285346126,0.31839886133824846
0.9665199583660744,0.8972366208294981,0.9691388815919144,0.9749460780530808,0.9921347129078967,0.9991434984479822,WI,0.022632195985184882,-0.44495911094978247,0.3281746518233413
0.9665455056315251,0.9037982768443003,0.9563390642015072,0.9663099875539464,0.9997345353905522,1.0065456641673196,MD,0.022632195985184882,-0.44383030906650967,0.3285826367233633
0.9674573901360402,0.9019855848899987,0.9551223835581873,0.9624747207719252,1.0040511219330777,1.013653139527012,NY,0.022632195985184882,-0.40353883646208394,0.34327593526764977
0.9694030360388834,0.9100227410930719,0.9652904750287143,0.9645371033166308,0.9989639061298954,1.0082009546261048,WV,0.022632195985184882,-0.3175707799766716,0.3754052708790389
0.9707077915524878,0.918616470632322,0.9673069836147816,0.9757221767782138,0.9995676302335746,0.9923256965035467,DE,0.022632195985184882,-0.25992036397380497,0.3974626014070765
0.9712688661861648,0.9136419746095742,0.9710758119768576,0.9767971313492203,0.9913017066271808,1.0035277063679913,RI,0.022632195985184882,-0.23512937002676018,0.407054161818089
0.9722340973508878,0.9081188604077127,0.9642468386451322,0.9716211003599292,1.005722786174154,1.0114609011675104,GA,0.022632195985184882,-0.19248078367858312,0.4236828094395967
0.9726645663965783,0.9033917466162991,0.9668924172889518,0.9777258516869968,1.001364240748576,1.0139485756420676,MN,0.022632195985184882,-0.1734605769795855,0.4311447065589321
0.9735588649599733,0.9065040611067616,0.9709843957930969,0.9672146759407871,1.0082408862996073,1.014850305659614,MA,0.022632195985184882,-0.13394613640207906,0.4467225837009719
0.9738413163287,0.9076952096522066,0.9759095342402074,0.9796702696054987,1.0014202706944697,1.004511297451117,AL,0.022632195985184882,-0.12146606734861577,0.451660944997447
0.9751108203285723,0.9060860659437333,0.970287682806321,0.9787709171240632,1.0080208177838208,1.012388617984923,OH,0.022632195985184882,-0.06537323390446485,0.47393841736561193
0.9795865057811126,0.9214795151826031,0.976209361707698,0.9852437826421353,1.002604433159532,1.0123954362135945,VA,0.022632195985184882,0.13238421992237945,0.5526598022516997
0.9801144135793379,0.9091643076159553,0.9781296287627197,0.9831513648656562,1.0097537827170153,1.0203729839353435,OR,0.022632195985184882,0.1557097424907985,0.5618690912762863
0.9801203463468149,0.8810866339877366,0.9677768189646513,0.9788948117852048,1.0319166048121866,1.0409268621842953,TN,0.022632195985184882,0.15597188088341585,0.5619724071329151
0.9807884465415189,0.9146042310301712,0.9708838385953743,0.9768508052985195,1.019066085356995,1.0225372724265345,CO,0.022632195985184882,0.1854917823168128,0.5735783374060069
0.9822258820596488,0.9271942522336224,0.9798309095215042,0.977403273902098,1.0121576410425672,1.0145433335984517,NM,0.022632195985184882,0.2490046433344032,0.5983214051693817
0.9829869335123831,0.9143425376944544,0.9762025730957391,0.9824342712506304,1.0162803814048607,1.0256749041162312,TX,0.022632195985184882,0.28263158140229966,0.6112703657487001
0.9832435011698859,0.9162512248619528,0.9769698733396868,0.9817342966623163,1.015368199096285,1.025893911889189,FL,0.022632195985184882,0.2939679827692181,0.615608815495523
0.9835765584897243,0.9057821772421027,0.9793084035904491,0.9866952171394042,1.01846696533697,1.027630029139695,KY,0.022632195985184882,0.3086840677684982,0.62121906778054
0.9835862824791463,0.9133872187770843,0.9786608617026271,0.9869422747736065,1.0143648837900352,1.0245761733523786,MO,0.022632195985184882,0.3091137207031216,0.6213824888225832
