state,overall_score,reading_testing_ed_score,math_testing_ed_score,enrollment_score,missing_categories,index_!!reading_testing_ed,state_!!reading_testing_ed,student_n_!!reading_testing_ed,std_dev_!!reading_testing_ed,percentile_!!reading_testing_ed,group_!!reading_testing_ed,score_!!reading_testing_ed,index_!!math_testing_ed,state_!!math_testing_ed,student_n_!!math_testing_ed,std_dev_!!math_testing_ed,percentile_!!math_testing_ed,group_!!math_testing_ed,score_!!math_testing_ed,state_!!enrollment,enrollment_1920_!!enrollment,enrollment_2021_!!enrollment,enrollment_change_!!enrollment,Unnamed: 4_!!enrollment,std_dev_!!enrollment,zscore_!!enrollment,percentile_!!enrollment,score_!!enrollment
WV,45.83906785634738,22.222222000000002,11.111111000000001,12.505734856347372,,29.0,WV,19622.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,25.0,WV,17753.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,WV,246803.0,240598.0,-0.02514151,,0.009828542394102564,-0.31818567416787874,0.3751720494421416,12.505734856347372
NY,45.27477980173762,22.222222000000002,11.111111000000001,11.94144680173762,,28.0,NY,78785.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,31.0,NY,74342.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,NY,2570248.0,2504492.0,-0.025583523,,0.009828542394102564,-0.3631580599272588,0.35824340763456264,11.94144680173762
SC,45.24512885710965,11.111111000000001,11.111111000000001,23.022906857109643,,8.0,SC,138765.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,7.0,SC,41876.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,SC,758809.0,745817.0,-0.017121568,,0.009828542394102564,0.49779920725382804,0.6906872126201613,23.022906857109643
HI,44.85364797995062,22.222222000000002,11.111111000000001,11.520314979950623,,34.0,HI,12054.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,30.0,HI,11601.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,HI,178871.0,174235.0,-0.02591812,,0.009828542394102564,-0.3972014599130764,0.3456094528546132,11.520314979950623
CA,44.676517251814545,22.222222000000002,11.111111000000001,11.343184251814545,,2.0,CA,587512.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,1.0,CA,299548.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,CA,6163001.0,6002392.0,-0.026060194,,0.009828542394102564,-0.41165670610352356,0.3402955309573916,11.343184251814545
MI,38.69327321691531,11.111111000000001,22.222222000000002,5.3599402169153025,,3.0,MI,282221.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,10.0,MI,80743.0,0.052257483187983685,0.6666666666666666,Some learning loss,22.222222000000002,MI,1444164.0,1398303.0,-0.031756089,,0.009828542394102564,-0.991182618655696,0.16079820811544115,5.3599402169153025
NV,35.22329226304295,11.111111000000001,11.111111000000001,13.001070263042946,,0.0,NV,121856.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,0.0,NV,27151.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,NV,483911.0,471930.0,-0.024758685,,0.009828542394102564,-0.27923534108189574,0.39003211179160946,13.001070263042946
NM,34.99268670492207,22.222222000000002,11.111111000000001,1.6593537049220672,,38.0,NM,7431.0,0.02995042520964488,0.6666666666666666,Some learning loss,22.222222000000002,36.0,NM,7333.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,NM,320719.0,308467.0,-0.038201666,,0.009828542394102564,-1.6469845414176665,0.049780611645468126,1.6593537049220672
NC,33.09864786456367,11.111111000000001,11.111111000000001,10.876425864563664,,24.0,NC,51341.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,24.0,NC,48835.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,NC,1536154.0,1495540.0,-0.026438755,,0.009828542394102564,-0.4501732006986073,0.3262927791998377,10.876425864563664
VA,27.70765746206585,11.111111000000001,11.111111000000001,5.485435462065848,,1.0,VA,97494.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,8.0,VA,28308.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,VA,1262591.0,1222686.0,-0.031605643,,0.009828542394102564,-0.9758755676233608,0.16456306550760608,5.485435462065848
KY,26.88817912317895,11.111111000000001,11.111111000000001,4.66595712317895,,6.0,KY,105851.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,2.0,KY,40890.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,KY,659269.0,637755.0,-0.032633113,,0.009828542394102564,-1.0804149752792214,0.13997871509515564,4.66595712317895
WA,24.76118762469203,11.111111000000001,11.111111000000001,2.5389656246920285,,16.0,WA,73242.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,4.0,WA,40911.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,WA,1108142.0,1068158.0,-0.036082018,,0.009828542394102564,-1.4313220438664673,0.07616896950245054,2.5389656246920285
ME,24.430825468701684,11.111111000000001,11.111111000000001,2.2086034687016802,,15.0,ME,35201.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,3.0,ME,10169.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,ME,174136.0,167728.0,-0.036798824,,0.009828542394102564,-1.5042531023345171,0.06625810472363144,2.2086034687016802
MS,22.37832216923538,11.111111000000001,11.111111000000001,0.156100169235378,,17.0,MS,60181.0,0.02995042520964488,0.3333333333333333,Most learning loss,11.111111000000001,17.0,MS,42282.0,0.052257483187983685,0.3333333333333333,Most learning loss,11.111111000000001,MS,451205.0,429749.0,-0.047552665,,0.009828542394102564,-2.5983971339513157,0.004683005123891391,0.156100169235378
MD,-1.0,,,18.237622335782902,2.0,,,,,,,,,,,,,,,MD,877201.0,858911.0,-0.020850409,,0.009828542394102564,0.11841019406328386,0.5471286755447737,18.237622335782902
WY,-1.0,,,19.853078181201397,2.0,,,,,,,,,,,,,,,WY,94214.0,92364.0,-0.019636147,,0.009828542394102564,0.24195465786176087,0.5955923513919653,19.853078181201397
