state,Jan_change_2021_19,Feb_change_2021_19,Mar_change_2021_19,Mar_change_2020_19,Apr_change_2021_19,Apr_change_2020_19,May_change_2021_19,May_change_2020_19,Jun_change_2021_19,Jun_change_2020_19,Jul_change_2021_19,Jul_change_2020_19,Aug_change_2021_19,Aug_change_2020_19,Sep_change_2021_19,Sep_change_2020_19,Oct_change_2021_19,Oct_change_2020_19,Nov_change_2020_19,Dec_change_2020_19,mean_jobs_changes,std_dev,zscore,percentile
ND,0.9345305751307116,0.936861230978878,0.9425652667423382,0.9959137343927355,0.9464366772582841,0.8760780753517929,0.9440543601359004,0.8930917327293318,0.9442682374263707,0.9023561395559584,0.9453762466001814,0.9127379873073436,0.942107643600181,0.9208502939846224,0.946878547105562,0.9280363223609535,0.9460806524694156,0.9243316719528772,0.9244212437585111,0.9255729521216247,0.9316274795481787,0.02890450787789555,-0.3550041788236884,0.36129323031550076
MN,0.9306511737246869,0.936293306424487,0.9424259738513763,1.0009410815716062,0.9464843618772467,0.8667316155474183,0.9466456777305156,0.8704156479217605,0.9479058555693194,0.8938698985570324,0.9532478832703056,0.909641578260433,0.9538235195773564,0.920052161701274,0.9609375,0.9267033261802575,0.9622565749849429,0.9319748377166567,0.9282485686543678,0.9103873062631808,0.9319818924692115,0.02890450787789555,-0.3427426685246734,0.3658960299939161
OR,0.9280756773430673,0.9385955867189112,0.9459209376445792,1.006734179818023,0.9461206896551724,0.8659174876847291,0.9466864693229541,0.8729386459080201,0.9498463114754098,0.9,0.9574446319881337,0.9181627538233338,0.9600326680618652,0.9246082384768517,0.9598510356086113,0.9274053667993062,0.9615619902120719,0.9279669657422512,0.9291094147582697,0.9140910939406263,0.9340535072491093,0.02890450787789555,-0.2710716755899672,0.39316795293100376
WY,0.9459459459459458,0.9451156368657232,0.9455360220613581,0.9924164081351257,0.9496898690558236,0.9055823569951759,0.9380804953560371,0.9016167870657036,0.9357609069048436,0.9062177945723119,0.9358930407953377,0.9105245114844019,0.9355060034305317,0.9210977701543739,0.9409137753349363,0.9288904156647199,0.9453608247422681,0.936426116838488,0.9420689655172413,0.9431426602343211,0.9352893153577334,0.02890450787789555,-0.22831681832532622,0.40969997534550384
WV,0.9334713595583161,0.9395908211224773,0.9427781617138908,0.987007601935038,0.9445593711212246,0.8518824989656599,0.9427939754041729,0.8712173552577034,0.951570499515705,0.9204372492043725,0.95516191530584,0.9191807362302796,0.9580390527627751,0.9221714443982827,0.9594162612925642,0.9323141070187629,0.9638873396542107,0.9383714445064137,0.9441958041958042,0.9391948560246016,0.9358620927594048,0.02890450787789555,-0.20850062203888423,0.4174190484968646
MD,0.9450430255260684,0.9458530762831411,0.9487327604881219,0.9927431583507833,0.9519953730480045,0.8599624060150376,0.954320407646995,0.8703697011311482,0.9530087408798671,0.8872715451852923,0.95942677688337,0.9122116738259394,0.9632865239522039,0.9179452005342769,0.9654001733603004,0.9259968217278243,0.9684381192577914,0.9319041614123581,0.9379437096832317,0.9377003132990025,0.9364776834245381,0.02890450787789555,-0.18720322899092828,0.4257506466134853
OH,0.9497063668266132,0.9497044599677592,0.9507615757727622,0.9948094718190117,0.9485996351539865,0.8444039059984977,0.9463279363091511,0.8754808122372305,0.9513398523391552,0.917213393160407,0.9542697070263712,0.926596010420012,0.9538252926063374,0.9335569511846987,0.9578360608875867,0.9410419495462017,0.9614443193796788,0.9428632684783191,0.9446655837780912,0.9422119075247701,0.9393329230208319,0.02890450787789555,-0.08842141930381803,0.46477086891364566
NH,0.9501685475597245,0.956203310385235,0.9628165715122238,0.9982433025911286,0.963076923076923,0.838974358974359,0.9609249231669839,0.8631640567832577,0.9557147033031277,0.892429114294066,0.9643587496348233,0.9119193689745836,0.9622173595915391,0.9288110867979578,0.9661462133372247,0.9426528527652124,0.9696261682242991,0.9385221962616823,0.9409017948343791,0.9327400058360081,0.9399805803952368,0.02890450787789555,-0.06601462458720035,0.47368309105814066
ME,0.9488591660110149,0.9524933144565045,0.9628930817610063,1.0009433962264151,0.960100534087339,0.8567389255419415,0.9610491597298569,0.8760797863986177,0.966138893243455,0.8901081674243612,0.9715632364493323,0.9060487038491752,0.962887566551832,0.9171625430629502,0.9594425305355465,0.9392420920764171,0.9614540896270761,0.9415543716703226,0.9434346599811971,0.942615239887112,0.9410404729285737,0.02890450787789555,-0.0293458621293043,0.4882943749735251
DE,0.9531283594925822,0.951654490760636,0.9509635974304069,0.9961456102783726,0.9549646150546858,0.8563156766030453,0.9540279269602578,0.867454350161117,0.9590480274442539,0.9090909090909092,0.9662032085561497,0.9264171122994653,0.9647661755285074,0.9348708093102712,0.9633832976445396,0.9462526766595288,0.9685224839400428,0.9516059957173447,0.9442545920546775,0.9458939264328485,0.9432481920709821,0.02890450787789555,0.04703388983653671,0.5187568913881396
WI,0.9492222779729051,0.9503852596314908,0.952954560663856,0.9967208726494011,0.9563136047134441,0.8670326727370113,0.9585846401286691,0.8851695483179197,0.9591379886401603,0.9114934847978616,0.9655218539945823,0.9294385178744607,0.9628439445671821,0.9418223204123987,0.9651541067176445,0.9479491565214475,0.9623979660109729,0.9438311253847185,0.9427949790794978,0.9467611945289769,0.9447765037672303,0.02890450787789555,0.0999084000238211,0.5397914762666537
KY,0.9551384520187697,0.9585160724420825,0.9582432293275666,1.0015961281021522,0.9586210450376172,0.8564876842213748,0.9589894000205824,0.8707419985592261,0.9586891655520116,0.9169667661282026,0.9556685673190528,0.9299327066317357,0.9629344816979392,0.9403260535219933,0.9652254192952762,0.9450684720726265,0.9684048291805806,0.9538659131774981,0.951417004048583,0.9441738862972265,0.9455503637326048,0.02890450787789555,0.12668138535343096,0.5504037102696588
OK,0.9530110562220654,0.9468428781204111,0.9543561161630977,0.9928424757993546,0.9530453133243448,0.8998768978251949,0.9543614712266089,0.9190473397078665,0.9572795023766211,0.9390293996831173,0.9554591806833499,0.9394596495340796,0.9598287590898429,0.9428219563687544,0.9656423763535265,0.9421714954638573,0.9672150342485802,0.9440313798957907,0.9444444444444444,0.9456324330657917,0.948819957979835,0.02890450787789555,0.23979849016774815,0.5947567612504451
