state,Jan_change_2021_19,Feb_change_2021_19,Mar_change_2021_19,Mar_change_2020_19,Apr_change_2021_19,Apr_change_2020_19,May_change_2021_19,May_change_2020_19,Jun_change_2021_19,Jun_change_2020_19,Jul_change_2021_19,Jul_change_2020_19,Aug_change_2021_19,Aug_change_2020_19,Sep_change_2021_19,Sep_change_2020_19,Oct_change_2021_19,Oct_change_2020_19,Nov_change_2020_19,Dec_change_2020_19,mean_unemp_changes,std_dev,zscore,percentile
NE,1.0666666666666667,1.0333333333333334,0.9666666666666667,1.0333333333333334,0.9333333333333332,2.466666666666667,0.8666666666666667,1.8,0.8333333333333334,2.1999999999999997,0.7666666666666666,1.4666666666666668,0.7333333333333334,1.3333333333333333,0.6666666666666666,1.2666666666666666,0.6551724137931034,1.2413793103448276,1.1724137931034482,1.1724137931034482,1.183735632183908,0.5396011334179114,-1.3900321278954866,0.9177404392174995
SD,1.0333333333333334,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333332,3.0666666666666664,0.9333333333333332,2.3333333333333335,0.9666666666666667,2.033333333333333,0.9666666666666667,1.8,0.9666666666666667,1.5666666666666667,0.9666666666666667,1.3333333333333333,0.9333333333333332,1.2333333333333334,1.2413793103448276,1.1379310344827587,1.3189655172413792,0.5396011334179114,-1.139421303190754,0.8727362626184353
MS,1.1851851851851851,1.1666666666666665,1.1481481481481481,1.111111111111111,1.1481481481481481,2.907407407407407,1.1296296296296295,2.0370370370370368,1.1272727272727272,1.7454545454545454,1.0892857142857142,1.517857142857143,1.0526315789473684,1.368421052631579,1.0175438596491226,1.263157894736842,0.9821428571428572,1.2321428571428572,1.1964285714285716,1.2,1.3312836067441332,0.5396011334179114,-1.1165931645159346,0.8679158421964994
MT,1.081081081081081,1.0833333333333333,1.0555555555555556,1.0555555555555556,1.027777777777778,3.3055555555555554,1.0,2.5277777777777777,1.027777777777778,2.111111111111111,1.0,1.8333333333333333,0.9722222222222222,1.611111111111111,0.9166666666666666,1.4444444444444444,0.8611111111111112,1.3055555555555556,1.25,1.1666666666666667,1.381831831831832,0.5396011334179114,-1.0229161465165115,0.846826252744185
AK,1.1379310344827587,1.157894736842105,1.1964285714285716,0.9107142857142857,1.2181818181818183,2.1454545454545455,1.222222222222222,2.148148148148148,1.222222222222222,2.0925925925925926,1.222222222222222,2.0370370370370368,1.1851851851851851,1.3333333333333333,1.1886792452830188,1.3207547169811322,1.173076923076923,1.25,1.3,1.3,1.388103942020406,0.5396011334179114,-1.0112925419683787,0.8440617827220847
KY,1.2619047619047619,1.2380952380952381,1.2195121951219514,1.024390243902439,1.1463414634146343,4.121951219512195,1.0975609756097562,2.658536585365854,1.0731707317073174,1.3902439024390245,1.0731707317073174,1.3658536585365855,1.048780487804878,1.3414634146341464,1.048780487804878,1.3414634146341464,1.024390243902439,1.3414634146341464,1.3658536585365855,1.3658536585365855,1.4274390243902437,0.5396011334179114,-0.9383959523695324,0.8259795173604044
WV,1.3,1.24,1.2040816326530612,1.0816326530612244,1.2083333333333333,3.25,1.1458333333333335,2.479166666666667,1.1041666666666667,2.1875,1.0204081632653061,1.9183673469387754,0.9795918367346937,1.7346938775510203,0.9199999999999999,1.58,0.8775510204081631,1.510204081632653,1.4285714285714284,1.3673469387755102,1.476872448979592,0.5396011334179114,-0.8467849057502829,0.8014424884678883
WY,1.3783783783783783,1.472222222222222,1.5142857142857142,1.457142857142857,1.542857142857143,1.5714285714285714,1.542857142857143,2.4285714285714284,1.5,2.055555555555556,1.4054054054054055,1.8378378378378377,1.2894736842105265,1.6315789473684212,1.1842105263157896,1.5000000000000002,1.0512820512820513,1.3846153846153848,1.325,1.2380952380952381,1.5155399044214835,0.5396011334179114,-0.7751255762063172,0.7808672700630499
AZ,1.34,1.3800000000000001,1.34,1.0,1.3673469387755102,2.897959183673469,1.3673469387755102,2.1632653061224487,1.387755102040816,2.1836734693877546,1.3469387755102038,2.122448979591837,1.2916666666666667,1.4583333333333335,1.1875,1.4375000000000002,1.1063829787234043,1.4468085106382977,1.4468085106382977,1.4468085106382977,1.5359271602257925,0.5396011334179114,-0.7373434913630679,0.7695432548315444
UT,1.1071428571428572,1.111111111111111,1.074074074074074,0.9259259259259258,1.0769230769230769,3.884615384615384,1.0384615384615385,2.923076923076923,1.08,2.52,1.04,2.16,1.0,1.92,1.0,1.7500000000000002,0.9166666666666667,1.5833333333333333,1.4583333333333335,1.375,1.547233211233211,0.5396011334179114,-0.7163908833953929,0.7631249886957351
