state,enrollment_1920,enrollment_2021,enrollment_change,Unnamed: 4,std_dev,zscore,percentile
MS,451205,429749.0,-0.047552665,,0.009828542394102564,-2.5983971339513157,0.004683005123891391
NH,172779,166095.0,-0.038685257,,0.009828542394102564,-1.6961872594412635,0.04492521124419317
NM,320719,308467.0,-0.038201666,,0.009828542394102564,-1.6469845414176665,0.049780611645468126
OR,582661,560917.0,-0.037318441,,0.009828542394102564,-1.55712126723268,0.05972084830663058
ME,174136,167728.0,-0.036798824,,0.009828542394102564,-1.5042531023345171,0.06625810472363144
WA,1108142,1068158.0,-0.036082018,,0.009828542394102564,-1.4313220438664673,0.07616896950245054
KY,659269,637755.0,-0.032633113,,0.009828542394102564,-1.0804149752792214,0.13997871509515564
MI,1444164,1398303.0,-0.031756089,,0.009828542394102564,-0.991182618655696,0.16079820811544115
VA,1262591,1222686.0,-0.031605643,,0.009828542394102564,-0.9758755676233608,0.16456306550760608
MA,925781,897426.0,-0.030628194,,0.009828542394102564,-0.8764255209321544,0.19039937465829576
VT,78087,75715.0,-0.030376375,,0.009828542394102564,-0.8508043260588333,0.19743902907334981
NC,1536154,1495540.0,-0.026438755,,0.009828542394102564,-0.4501732006986073,0.3262927791998377
CA,6163001,6002392.0,-0.026060194,,0.009828542394102564,-0.41165670610352356,0.3402955309573916
HI,178871,174235.0,-0.02591812,,0.009828542394102564,-0.3972014599130764,0.3456094528546132
RI,140549,136908.0,-0.025905556,,0.009828542394102564,-0.39592314218332453,0.34608086407806166
KS,471172,459109.0,-0.025602116,,0.009828542394102564,-0.3650497951667748,0.35753711806724375
NY,2570248,2504492.0,-0.025583523,,0.009828542394102564,-0.3631580599272588,0.35824340763456264
WV,246803,240598.0,-0.02514151,,0.009828542394102564,-0.31818567416787874,0.3751720494421416
CO,878798,856783.0,-0.025051263,,0.009828542394102564,-0.30900353948490183,0.3786594171892247
AZ,1130414,1102158.0,-0.024996152,,0.009828542394102564,-0.3033962990834087,0.38079393287474494
NV,483911,471930.0,-0.024758685,,0.009828542394102564,-0.27923534108189574,0.39003211179160946
MO,876357,855214.0,-0.024126013,,0.009828542394102564,-0.21486445325018425,0.41493649989556797
TN,981321,958749.0,-0.023001648,,0.009828542394102564,-0.10046651356437114,0.45998698330134746
MT,148009,144685.0,-0.022458094,,0.009828542394102564,-0.045162890890255415,0.48198873641592666
CT,505210,494006.0,-0.022176917,,0.009828542394102564,-0.016554681379075446,0.49339593930939046
MD,877201,858911.0,-0.020850409,,0.009828542394102564,0.11841019406328386,0.5471286755447737
NJ,1280141,1253940.0,-0.020467277,,0.009828542394102564,0.15739176270665592,0.562531947521614
WI,799062,782940.0,-0.020176157,,0.009828542394102564,0.18701161764818622,0.5741742379611543
MN,867999,850765.0,-0.019854862,,0.009828542394102564,0.21970161247313466,0.586948225611538
LA,683454,670021.0,-0.019654578,,0.009828542394102564,0.24007940522907562,0.5948656501906033
WY,94214,92364.0,-0.019636147,,0.009828542394102564,0.24195465786176087,0.5955923513919653
OH,1647478,1615166.0,-0.019613008,,0.009828542394102564,0.24430892353739986,0.596504213570378
GA,1719609,1686367.0,-0.019331139,,0.009828542394102564,0.27298754023331306,0.6075686033000313
FL,2792884,2739338.0,-0.019172296,,0.009828542394102564,0.2891489397197021,0.6137662981039329
SC,758809,745817.0,-0.017121568,,0.009828542394102564,0.49779920725382804,0.6906872126201613
PA,1722341,1697277.0,-0.014552287,,0.009828542394102564,0.7592093835523653,0.7761363431424146
IA,485856,479264.0,-0.013567806,,0.009828542394102564,0.8593748974734042,0.8049331427780029
AR,479147,472668.0,-0.013521946,,0.009828542394102564,0.8640408996292801,0.806217288407781
AK,128033,126363.0,-0.013043512,,0.009828542394102564,0.9127189213354362,0.8193048050593561
IN,1028581,1015221.0,-0.012988768,,0.009828542394102564,0.918288821510344,0.820766160983851
TX,5220228,5154686.0,-0.01255539,,0.009828542394102564,0.9623826436278575,0.8320712855555285
DE,137716,135993.0,-0.012511255,,0.009828542394102564,0.9668731365443333,0.8331962713426677
NE,310523,306911.0,-0.011631989,,0.009828542394102564,1.0563336043068356,0.8545920858198427
AL,724178,716084.0,-0.01117681,,0.009828542394102564,1.1026455579769059,0.8649094411521017
ID,307412,304522.0,-0.009401064,,0.009828542394102564,1.2833179230943932,0.900309642045269
ND,113056,112173.0,-0.007810289,,0.009828542394102564,1.445170508779379,0.9257950010565271
OK,661816,656951.0,-0.007350986,,0.009828542394102564,1.4919020567122236,0.9321375882831422
UT,667927,666563.0,-0.002042139,,0.009828542394102564,2.032047969211464,0.9789256000078309
SD,136637,136390.0,-0.001807709,,0.009828542394102564,2.055899929207146,0.9801039185224968
