"Food Scarcity, Household Pulse Survey","","","","","","",""
"Adults in households where there was either sometimes or often not enough to eat in the last 7 days","","","","","","",""
"","","Total Food Scarcity","","Percent Food Scarcity","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"38","Maryland","336468","102337","8.6","2.6","3918602","4585752"
"38","Massachusetts","321777","93067","7.2","2.1","4479899","5309617"
"38","Michigan","523801","118102","8.1","1.8","6506388","7631231"
"38","Minnesota","247257","73183","6.5","1.9","3801415","4250165"
"38","Mississippi","288531","72367","15.4","3.8","1870065","2186321"
"38","Missouri","466545","152767","11.2","3.6","4169672","4638839"
"38","Montana","67473","28180","9","3.7","748268","834511"
"38","Nebraska","68096","21752","5.4","1.7","1251005","1420835"
"38","Nevada","157154","50148","7.4","2.4","2122585","2450986"
"38","New Hampshire","52015","21044","5.6","2.3","934332","1080887"
"38","New Jersey","428725","125699","7.8","2.2","5529022","6767278"
"38","New Mexico","117311","33602","8.2","2.3","1433688","1604259"
"38","New York","1628972","370988","13.4","3","12130612","14714964"
"38","North Carolina","553162","143908","8","2.1","6935391","8121448"
"38","North Dakota","54964","28636","11.4","5.8","483911","560525"
"38","Ohio","622918","160240","8","2.1","7759482","8833555"
"38","Oklahoma","268497","69033","10.4","2.6","2578441","2941764"
"38","Oregon","273989","82499","9.4","2.8","2917631","3326774"
"38","Pennsylvania","694921","221083","8.2","2.6","8470264","9760505"
"38","Rhode Island","39786","18328","5.7","2.6","702192","815717"
"38","South Carolina","324010","85889","9.8","2.6","3306565","4033193"
"38","South Dakota","44699","20164","7.8","3.4","575601","648348"
"38","Tennessee","450165","128087","9.8","2.7","4572280","5279261"
"38","Texas","1998251","431889","11.3","2.4","17721173","21688354"
"38","Utah","110892","33498","5.3","1.6","2093882","2324002"
"38","Vermont","13974","7954","3.1","1.8","448342","485680"
"38","Virginia","391106","133286","7","2.3","5593344","6511643"
"38","Washington","421752","84839","8","1.6","5259361","5950326"
"38","West Virginia","102428","31551","9.3","2.7","1103341","1377441"
"38","Wisconsin","147659","64128","3.9","1.7","3796472","4454731"
"38","Wyoming","21170","7644","5.3","1.9","396392","438527"
"38","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","519492","196730","12.7","4.5","4099861","4808901"
"38","Boston-Cambridge-Newton, MA-NH Metro Area","176586","56123","5.6","1.8","3173050","3667865"
"38","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","589237","194421","9.7","3.2","6077596","6833410"
"38","Dallas-Fort Worth-Arlington, TX Metro Area","467546","168042","9.3","3.3","5041189","6189877"
"38","Detroit-Warren-Dearborn, MI Metro Area","296891","88012","10.6","2.9","2802034","3418196"
"38","Houston-The Woodlands-Sugar Land, TX Metro Area","420538","110746","9.3","2.4","4523094","5533443"
"38","Los Angeles-Long Beach-Anaheim, CA Metro Area","706942","303380","7.8","3.2","9065301","10464386"
"38","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","426083","123737","11.5","3","3721001","4495028"
"38","New York-Newark-Jersey City, NY-NJ-PA Metro Area","1434027","332992","12.6","2.8","11395825","13820850"
"38","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","363747","114275","8.3","2.4","4371226","5118049"
"38","Phoenix-Mesa-Chandler, AZ Metro Area","161011","71553","5.1","2.2","3183701","3876513"
"38","Riverside-San Bernardino-Ontario, CA Metro Area","328976","110430","10.7","3.5","3073086","3669974"
"38","San Francisco-Oakland-Berkeley, CA Metro Area","255513","145879","8.7","4.7","2939267","3319479"
"38","Seattle-Tacoma-Bellevue, WA Metro Area","244987","74250","8.4","2.4","2918957","3362490"
"38","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","211751","58301","5.4","1.4","3939454","4437320"
"37","United States","19088862","1090594","8.8","0.5","215841349","250265449"
"37","Alabama","329181","87451","9.8","2.6","3357899","3737637"
"37","Alaska","37121","9260","7.7","1.9","484690","525308"
"37","Arizona","418958","156709","8.7","3.1","4836032","5753909"
"37","Arkansas","191385","55434","9.8","2.9","1946379","2264877"
"37","California","2599090","508563","10.3","1.9","25339682","29807656"
"37","Colorado","225638","68322","5.7","1.7","3979662","4504323"
"37","Connecticut","160204","47577","6.5","1.9","2448894","2724164"
"37","Delaware","42083","14176","6.5","2.1","650265","767878"
"37","District of Columbia","30122","13025","6.1","2.6","490287","546656"
"37","Florida","1793405","403518","12","2.7","14902260","17254676"
"37","Georgia","661698","158648","9.7","2.3","6809835","8033423"
"37","Hawaii","56155","27742","5.9","2.9","945243","1065941"
"37","Idaho","106003","42959","8.4","3.4","1262216","1382940"
"37","Illinois","403468","124254","5.1","1.5","7960018","9479736"
"37","Indiana","382597","121969","8.8","2.8","4367231","5029256"
"37","Iowa","150290","49087","7.2","2.4","2084774","2349714"
"37","Kansas","175825","49140","9.3","2.6","1883861","2146524"
"37","Kentucky","239169","84495","8.1","2.8","2945985","3358135"
"37","Louisiana","533164","141948","18.6","4.9","2866594","3432241"
"37","Maine","67592","31275","7.1","3.3","955285","1073016"
"37","Maryland","316279","116732","8.1","2.9","3919507","4585752"
"37","Massachusetts","289823","79045","6.3","1.7","4630788","5309617"
"37","Michigan","521030","128217","8","2","6537957","7631231"
"37","Minnesota","101721","34493","2.7","0.9","3752459","4250165"
"37","Mississippi","210952","61994","11.6","3.3","1815566","2186321"
"37","Missouri","340662","119584","8.6","3","3957351","4638839"
"37","Montana","52301","21000","7.2","2.9","727412","834511"
"37","Nebraska","122601","40729","9.6","3.2","1277224","1420835"
"37","Nevada","135184","44920","6.3","2.1","2142969","2450986"
"37","New Hampshire","81616","35280","8.4","3.6","977173","1080887"
"37","New Jersey","281204","101512","5","1.8","5612969","6767278"
"37","New Mexico","105913","30871","7.6","2.2","1392399","1604259"
"37","New York","925674","325003","7.2","2.5","12859445","14714964"
"37","North Carolina","547184","132028","7.7","1.8","7069217","8121448"
"37","North Dakota","41003","18124","8.3","3.7","492473","560525"
"37","Ohio","719238","177079","9.9","2.4","7299750","8833555"
"37","Oklahoma","282364","111030","11.3","4.4","2490271","2941764"
"37","Oregon","212962","49086","7.3","1.7","2930892","3326774"
"37","Pennsylvania","685457","189723","8.3","2.1","8241841","9760505"
"37","Rhode Island","64584","29628","9.2","4.1","701018","815717"
"37","South Carolina","369536","142813","11","4","3366959","4033193"
"37","South Dakota","29066","11856","5","2","577935","648348"
"37","Tennessee","474543","131486","10.1","2.8","4705752","5279261"
"37","Texas","2379173","423171","12.8","2.3","18599514","21688354"
"37","Utah","101141","30129","5","1.5","2031551","2324002"
"37","Vermont","17659","9584","3.9","2.1","450616","485680"
"37","Virginia","425618","133026","7.4","2.3","5789660","6511643"
"37","Washington","316476","88604","5.9","1.6","5352217","5950326"
"37","West Virginia","69786","27933","5.6","2.3","1236326","1377441"
"37","Wisconsin","234275","78012","5.9","1.9","4004018","4454731"
"37","Wyoming","30689","12225","8.1","3.1","381031","438527"
"37","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","321102","101489","8.5","2.5","3772969","4406363"
"37","Boston-Cambridge-Newton, MA-NH Metro Area","162218","59775","5.2","1.9","3131597","3607530"
"37","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","410938","156029","6.7","2.4","6099624","7233660"
"37","Dallas-Fort Worth-Arlington, TX Metro Area","583883","178574","12.6","3.6","4641005","5419356"
"37","Detroit-Warren-Dearborn, MI Metro Area","247763","83445","8.9","2.6","2798478","3267734"
"37","Houston-The Woodlands-Sugar Land, TX Metro Area","570444","171482","12.1","3.4","4718217","5857109"
"37","Los Angeles-Long Beach-Anaheim, CA Metro Area","886811","303020","10.3","3.4","8609059","10577972"
"37","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","446164","139148","11.2","3.3","3975785","4945152"
"37","New York-Newark-Jersey City, NY-NJ-PA Metro Area","856978","311903","7.3","2.6","11686467","13823947"
"37","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","209897","63451","4.9","1.4","4254542","4903759"
"37","Phoenix-Mesa-Chandler, AZ Metro Area","303473","95545","9.7","3","3141131","3848357"
"37","Riverside-San Bernardino-Ontario, CA Metro Area","353507","122949","9.6","3.2","3695866","4332091"
"37","San Francisco-Oakland-Berkeley, CA Metro Area","235968","118250","7.3","3.6","3243186","3590684"
"37","Seattle-Tacoma-Bellevue, WA Metro Area","152196","55933","5.1","1.8","2982738","3312814"
"37","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","350091","134930","8.5","3.1","4109450","4698754"
"36","United States","18483790","927584","8.6","0.4","215979571","250265449"
"36","Alabama","369215","103608","11.5","3.1","3213805","3737637"
"36","Alaska","33422","10138","6.9","2.1","482105","525308"
"36","Arizona","381256","108738","7.6","2.1","5011501","5753909"
"36","Arkansas","265635","57382","13.1","2.9","2020620","2264877"
"36","California","2290919","430557","8.9","1.6","25685585","29807656"
"36","Colorado","263227","86486","6.5","2.1","4073705","4504323"
"36","Connecticut","167280","49194","7.3","2.1","2304299","2724164"
"36","Delaware","73515","26950","10.8","3.9","677694","767878"
"36","District of Columbia","39340","16997","7.7","3.3","510963","546656"
"36","Florida","1390525","276741","9.6","1.8","14496260","17254676"
"36","Georgia","790140","166005","11.5","2.3","6861671","8033423"
"36","Hawaii","38136","17718","4.1","1.9","936574","1065941"
"36","Idaho","78515","27273","6.6","2.3","1184957","1382940"
"36","Illinois","580581","162812","7.2","1.9","8070519","9479736"
"36","Indiana","369444","121575","8.4","2.7","4393574","5029256"
"36","Iowa","133255","44833","6.6","2.3","2030570","2349714"
"36","Kansas","114704","35439","6.2","1.9","1849106","2146524"
"36","Kentucky","305010","75139","10.9","2.6","2810512","3358135"
"36","Louisiana","376921","112881","13","3.8","2905251","3432241"
"36","Maine","92369","33801","9.4","3.5","984316","1073016"
"36","Maryland","379412","96290","9.8","2.4","3876610","4585752"
"36","Massachusetts","343823","91397","7.5","1.9","4599580","5309617"
"36","Michigan","661716","151486","10.2","2.3","6487331","7631231"
"36","Minnesota","211214","63736","5.6","1.7","3800691","4250165"
"36","Mississippi","209066","61801","11.3","3.4","1843608","2186321"
"36","Missouri","281367","82405","6.9","2","4101533","4638839"
"36","Montana","78180","27590","10.3","3.6","756226","834511"
"36","Nebraska","83509","30760","6.6","2.4","1258693","1420835"
"36","Nevada","246007","63954","11.4","2.9","2155885","2450986"
"36","New Hampshire","38000","13507","4","1.4","953853","1080887"
"36","New Jersey","355876","121133","6.6","2.2","5381579","6767278"
"36","New Mexico","132976","39294","9.4","2.7","1413206","1604259"
"36","New York","1140833","327645","9.2","2.6","12443933","14714964"
"36","North Carolina","612026","207581","8.6","2.9","7118734","8121448"
"36","North Dakota","54727","31535","10.8","6.1","505851","560525"
"36","Ohio","634735","203204","7.9","2.5","8013345","8833555"
"36","Oklahoma","278965","71387","10.9","2.7","2562926","2941764"
"36","Oregon","171674","41102","5.8","1.4","2948074","3326774"
"36","Pennsylvania","543148","143606","6.5","1.7","8319167","9760505"
"36","Rhode Island","47153","16485","6.8","2.3","696023","815717"
"36","South Carolina","304452","117145","8.7","3.3","3494173","4033193"
"36","South Dakota","42980","19079","7.5","3.3","570662","648348"
"36","Tennessee","672814","137244","14.8","3","4546978","5279261"
"36","Texas","1648832","319276","8.9","1.7","18609421","21688354"
"36","Utah","99376","25477","4.7","1.2","2102159","2324002"
