"Food Scarcity, Household Pulse Survey","","","","","","",""
"Adults in households where there was either sometimes or often not enough to eat in the last 7 days","","","","","","",""
"","","Total Food Scarcity","","Percent Food Scarcity","","",""
"Week","Area","Number","Margin of Error +/-","Percent","MOE +/-","Measure Universe","Total Population age 18+"
"30","Colorado","198905","72717","5.2","1.9","3859328","4504323"
"30","Connecticut","209082","56983","9","2.5","2320516","2724164"
"30","Delaware","24451","10997","3.8","1.7","642868","767878"
"30","District of Columbia","59368","18366","12.5","3.8","476480","546656"
"30","Florida","1777066","311097","12.1","2.1","14671052","17254676"
"30","Georgia","593326","134438","9","2","6572797","8033423"
"30","Hawaii","51338","22242","5.7","2.4","894743","1065941"
"30","Idaho","103943","31234","8.4","2.5","1243565","1382940"
"30","Illinois","522019","167129","6.6","2.1","7947790","9479736"
"30","Indiana","300334","95069","7","2.2","4281463","5029256"
"30","Iowa","206769","54066","10.5","2.7","1969632","2349714"
"30","Kansas","108397","31404","6.1","1.8","1781925","2146524"
"30","Kentucky","249420","81861","8.8","2.9","2829365","3358135"
"30","Louisiana","252533","67610","8.9","2.4","2832258","3432241"
"30","Maine","61743","24053","6.6","2.6","929200","1073016"
"30","Maryland","321414","83227","8.2","2.1","3923644","4585752"
"30","Massachusetts","240115","58168","5.4","1.3","4432221","5309617"
"30","Michigan","596273","146888","9.2","2.2","6510905","7631231"
"30","Minnesota","180519","55319","5","1.5","3606405","4250165"
"30","Mississippi","268798","79306","14.7","4.3","1824593","2186321"
"30","Missouri","281148","76603","6.9","1.9","4103144","4638839"
"30","Montana","71892","35874","9.5","4.7","757709","834511"
"30","Nebraska","92424","22579","7.6","1.8","1213145","1420835"
"30","Nevada","182873","46619","8.9","2.2","2047875","2450986"
"30","New Hampshire","41852","14181","4.4","1.5","949224","1080887"
"30","New Jersey","457159","113019","8.2","2.1","5582087","6767278"
"30","New Mexico","106801","31666","8","2.4","1332118","1604259"
"30","New York","1406391","348952","11.6","2.9","12124934","14714964"
"30","North Carolina","461092","135486","6.7","1.9","6881424","8121448"
"30","North Dakota","34351","15334","7.2","3.2","475655","560525"
"30","Ohio","838999","190125","11","2.4","7644982","8833555"
"30","Oklahoma","245809","61187","9.8","2.4","2506177","2941764"
"30","Oregon","256715","55784","8.7","1.9","2939323","3326774"
"30","Pennsylvania","620569","142241","7.3","1.7","8502544","9760505"
"30","Rhode Island","56623","19977","8.5","3","663221","815717"
"30","South Carolina","373249","124785","10.7","3.4","3473214","4033193"
"30","South Dakota","27486","13111","4.9","2.3","566608","648348"
"30","Tennessee","421979","102954","9.3","2.2","4533814","5279261"
"30","Texas","2048093","427531","11.4","2.3","17974055","21688354"
"30","Utah","114492","31364","5.6","1.5","2042044","2324002"
"30","Vermont","23392","9885","5.4","2.3","430575","485680"
"30","Virginia","519643","140167","9.3","2.5","5569028","6511643"
"30","Washington","332614","72029","6.2","1.3","5361279","5950326"
"30","West Virginia","93152","27270","8.1","2.4","1149012","1377441"
"30","Wisconsin","259292","74750","6.7","1.9","3876804","4454731"
"30","Wyoming","23280","6273","6","1.6","390668","438527"
"30","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","301477","82716","8.1","2.3","3714246","4736152"
"30","Boston-Cambridge-Newton, MA-NH Metro Area","132306","40261","4.2","1.3","3124816","3758849"
"30","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","348484","134194","6","2.2","5804696","6975731"
"30","Dallas-Fort Worth-Arlington, TX Metro Area","748798","354429","14.4","6","5202340","6409196"
"30","Detroit-Warren-Dearborn, MI Metro Area","370567","130942","12.9","4.2","2864306","3485747"
"30","Houston-The Woodlands-Sugar Land, TX Metro Area","498911","183413","11.1","3.7","4505276","5698729"
"30","Los Angeles-Long Beach-Anaheim, CA Metro Area","990523","232370","11.8","2.8","8411943","10246241"
"30","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","479853","139438","12","3.2","3993712","4896609"
"30","New York-Newark-Jersey City, NY-NJ-PA Metro Area","1243397","293340","10.8","2.5","11509552","14240054"
"30","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","272571","74075","6.3","1.7","4294543","4952230"
"30","Phoenix-Mesa-Chandler, AZ Metro Area","259751","73167","7.4","2.1","3522548","4169340"
"30","Riverside-San Bernardino-Ontario, CA Metro Area","454557","154980","13.6","4.2","3345874","4330188"
"30","San Francisco-Oakland-Berkeley, CA Metro Area","255463","117094","8.4","3.7","3043653","3515461"
"30","Seattle-Tacoma-Bellevue, WA Metro Area","189532","49005","6.7","1.7","2815852","3147099"
"30","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","338020","107098","8.7","2.6","3903930","4552567"
"29","United States","18197385","1051093","8.7","0.5","208872448","250265449"
"29","Alabama","322174","84574","10.4","2.6","3097611","3737637"
"29","Alaska","44432","9148","9.4","1.9","470385","525308"
"29","Arizona","392584","122940","7.9","2.4","4997057","5753909"
"29","Arkansas","275840","65050","14.6","3.5","1893904","2264877"
"29","California","2486483","471634","10","1.9","24836683","29807656"
"29","Colorado","299686","97137","7.5","2.4","4000242","4504323"
"29","Connecticut","134859","42618","6.1","1.9","2228590","2724164"
"29","Delaware","42419","17433","6.7","2.8","631898","767878"
"29","District of Columbia","32071","10712","6.7","2.2","475989","546656"
"29","Florida","1372571","387843","9.5","2.7","14470615","17254676"
"29","Georgia","869120","202971","13.2","3","6576510","8033423"
"29","Hawaii","49212","18243","5.4","2","903396","1065941"
"29","Idaho","88353","21089","7.3","1.7","1209889","1382940"
"29","Illinois","419912","133210","5.4","1.7","7810686","9479736"
"29","Indiana","304456","92489","7.5","2.2","4080976","5029256"
"29","Iowa","161412","34278","8","1.7","2013197","2349714"
"29","Kansas","168834","38964","9","2","1873446","2146524"
"29","Kentucky","217104","62666","7.5","2.1","2884839","3358135"
"29","Louisiana","383324","117227","14.1","4.1","2715289","3432241"
"29","Maine","48223","16968","5","1.8","960705","1073016"
"29","Maryland","312443","71452","8.2","1.9","3814419","4585752"
"29","Massachusetts","226003","53579","5.1","1.2","4452333","5309617"
"29","Michigan","475465","116992","7.4","1.9","6462986","7631231"
"29","Minnesota","245403","68934","6.7","1.9","3678142","4250165"
"29","Mississippi","188468","52338","10.6","2.9","1781520","2186321"
"29","Missouri","262156","61650","6.6","1.5","3946537","4638839"
"29","Montana","42924","19885","5.8","2.7","742758","834511"
"29","Nebraska","74429","23426","6.2","1.9","1205848","1420835"
"29","Nevada","187155","48220","9.2","2.4","2037974","2450986"
"29","New Hampshire","52055","18055","5.6","1.9","932926","1080887"
"29","New Jersey","422313","103488","7.7","1.8","5478403","6767278"
"29","New Mexico","140444","38289","10.2","2.7","1370200","1604259"
"29","New York","1097990","320998","9.4","2.6","11663366","14714964"
"29","North Carolina","644119","205844","9.7","3","6671219","8121448"
"29","North Dakota","37808","13966","7.7","2.9","490609","560525"
"29","Ohio","670491","191290","9","2.6","7414170","8833555"
"29","Oklahoma","262124","76760","10.2","2.9","2565522","2941764"
"29","Oregon","158622","38138","5.6","1.3","2840855","3326774"
"29","Pennsylvania","533048","150761","6.4","1.8","8277770","9760505"
"29","Rhode Island","42545","14657","6.4","2.2","665852","815717"
"29","South Carolina","302461","100719","9.1","3","3334517","4033193"
"29","South Dakota","47103","18772","8.4","3.4","561980","648348"
"29","Tennessee","443657","115735","9.9","2.5","4471738","5279261"
"29","Texas","2087896","344570","12","2","17338197","21688354"
"29","Utah","125701","29659","6","1.4","2087716","2324002"
"29","Vermont","30727","13175","6.9","3","443881","485680"
"29","Virginia","302618","73562","5.5","1.3","5471325","6511643"
"29","Washington","246610","74576","4.6","1.4","5318037","5950326"
"29","West Virginia","119648","33465","11.3","3.1","1057585","1377441"
"29","Wisconsin","272675","86340","7.2","2.2","3779293","4454731"
"29","Wyoming","29214","11875","7.6","3.1","382864","438527"
"29","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","566832","160971","13.7","3.7","4142169","5016640"
"29","Boston-Cambridge-Newton, MA-NH Metro Area","127922","37123","4.2","1.2","3058521","3684022"
"29","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","380379","133993","6.6","2.3","5734195","6948668"
"29","Dallas-Fort Worth-Arlington, TX Metro Area","699626","265879","14.3","4.9","4887681","6123103"
"29","Detroit-Warren-Dearborn, MI Metro Area","227339","86673","7.9","2.9","2861668","3435459"
"29","Houston-The Woodlands-Sugar Land, TX Metro Area","303487","83678","7.2","1.9","4219117","5219835"
"29","Los Angeles-Long Beach-Anaheim, CA Metro Area","918318","246338","10.8","2.8","8517435","10320141"
"29","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","386966","122728","10.3","3","3757474","4627510"
"29","New York-Newark-Jersey City, NY-NJ-PA Metro Area","978419","264998","8.9","2.4","10999784","13961419"
"29","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","290063","68466","6.9","1.5","4184388","4986704"
"29","Phoenix-Mesa-Chandler, AZ Metro Area","272299","96174","7.9","2.7","3432829","3946668"
"29","Riverside-San Bernardino-Ontario, CA Metro Area","372466","115136","11.7","3.2","3189707","3882410"
"29","San Francisco-Oakland-Berkeley, CA Metro Area","163012","64695","5.9","2.1","2784709","3257117"
"29","Seattle-Tacoma-Bellevue, WA Metro Area","128049","48890","4.6","1.7","2807292","3144327"
"29","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","211445","53519","5.4","1.3","3917570","4556347"
"28","United States","16797643","863159","8.1","0.4","206508360","250265449"
"28","Alabama","369592","127780","11.8","4","3122810","3737637"
"28","Alaska","36565","7907","7.9","1.7","463178","525308"
"28","Arizona","444871","109135","9.3","2.3","4793830","5753909"
"28","Arkansas","180688","51088","9.6","2.7","1879797","2264877"
"28","California","1935958","414198","7.9","1.7","24603431","29807656"
"28","Colorado","145875","41396","3.9","1.1","3783885","4504323"
"28","Connecticut","197658","52021","8.8","2.3","2246335","2724164"
"28","Delaware","49073","24995","7.5","3.9","652374","767878"
"28","District of Columbia","36707","9825","8","2.1","460031","546656"
"28","Florida","1396316","272647","10","1.9","13992409","17254676"
"28","Georgia","654446","167845","10.3","2.7","6380126","8033423"
"28","Hawaii","60747","19703","6.6","2.2","915746","1065941"
"28","Idaho","76152","24912","6.4","2.1","1195453","1382940"
"28","Illinois","484903","116739","6.5","1.5","7481053","9479736"
"28","Indiana","350360","91876","8","2.1","4382684","5029256"
"28","Iowa","125560","45151","6.3","2.2","1982816","2349714"
"28","Kansas","138828","50289","7.4","2.7","1867075","2146524"
"28","Kentucky","351753","136868","12.9","5","2736164","3358135"
"28","Louisiana","188288","74317","6.6","2.6","2868551","3432241"
"28","Maine","35357","14183","3.8","1.5","925423","1073016"
"28","Maryland","346715","86324","9","2.2","3859450","4585752"
"28","Massachusetts","218467","55091","5","1.2","4406950","5309617"
"28","Michigan","398710","106556","6.2","1.7","6479433","7631231"
"28","Minnesota","148314","47520","4.1","1.3","3601483","4250165"
"28","Mississippi","235055","79599","13.5","4.4","1740616","2186321"
"28","Missouri","234972","71764","5.9","1.7","3990816","4638839"
"28","Montana","41348","18097","5.5","2.4","749002","834511"
"28","Nebraska","58809","19194","4.9","1.6","1207262","1420835"
"28","Nevada","203682","44811","10.2","2.1","1996926","2450986"
"28","New Hampshire","44635","14271","4.8","1.6","936661","1080887"
"28","New Jersey","452489","114055","8.5","2.1","5299871","6767278"
"28","New Mexico","109313","26592","8","1.9","1374389","1604259"
"28","New York","1153385","310587","9.7","2.5","11889653","14714964"
"28","North Carolina","468283","126568","6.9","1.8","6739298","8121448"
"28","North Dakota","33226","11121","7.1","2.4","468607","560525"
"28","Ohio","263497","109438","3.7","1.6","7035841","8833555"
"28","Oklahoma","222161","68303","9","2.8","2478504","2941764"
"28","Oregon","263251","77297","9","2.6","2938907","3326774"
"28","Pennsylvania","669780","170466","8.4","2.1","8009681","9760505"
"28","Rhode Island","44018","21825","6.7","3.1","659148","815717"
"28","South Carolina","214367","99354","6.5","2.9","3292313","4033193"
"28","South Dakota","41023","13933","7.1","2.5","576889","648348"
"28","Tennessee","400094","111472","9.4","2.5","4272370","5279261"
"28","Texas","2048155","444904","11.8","2.5","17428831","21688354"
"28","Utah","108130","38070","5.3","1.8","2046126","2324002"
"28","Vermont","15214","10001","3.6","2.3","424655","485680"
"28","Virginia","433776","96081","8.1","1.7","5354517","6511643"
"28","Washington","266406","65065","5.2","1.3","5078316","5950326"
"28","West Virginia","140417","47294","11.8","3.9","1186714","1377441"
"28","Wisconsin","239612","77566","6.2","2","3858800","4454731"
"28","Wyoming","20641","9891","5.2","2.5","393161","438527"
"28","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","332666","117373","8.6","2.9","3863412","4634898"
"28","Boston-Cambridge-Newton, MA-NH Metro Area","149972","41558","4.7","1.2","3217283","3791870"
"28","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","336543","91165","6.2","1.7","5454636","6816773"
"28","Dallas-Fort Worth-Arlington, TX Metro Area","444530","160818","8.7","2.9","5102788","6142202"
"28","Detroit-Warren-Dearborn, MI Metro Area","250936","91985","8.4","2.9","3003054","3556059"
"28","Houston-The Woodlands-Sugar Land, TX Metro Area","814436","241198","17.6","4.5","4623967","5840309"
"28","Los Angeles-Long Beach-Anaheim, CA Metro Area","491716","148419","6","1.8","8204039","10546436"
"28","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","388269","96960","10.9","2.5","3571844","4845181"
"28","New York-Newark-Jersey City, NY-NJ-PA Metro Area","1228656","303874","11.9","2.8","10342191","13351604"
"28","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","279986","94301","6.7","2.1","4183237","4856749"
"28","Phoenix-Mesa-Chandler, AZ Metro Area","304638","102011","9.1","3","3346497","3988632"
"28","Riverside-San Bernardino-Ontario, CA Metro Area","337069","149488","10","4.1","3370319","4361997"
"28","San Francisco-Oakland-Berkeley, CA Metro Area","237116","86785","8","2.8","2957479","3508705"
"28","Seattle-Tacoma-Bellevue, WA Metro Area","145879","48382","5","1.6","2902775","3399514"
"28","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","232996","65248","6","1.7","3914868","4710513"
"27","United States","18495327","1067367","8.8","0.5","210097997","249170916"
"27","Alabama","262096","69891","8.7","2.3","3009415","3717378"
"27","Alaska","46722","10580","9.9","2.2","470021","524925"
"27","Arizona","344175","101676","7.1","2","4878304","5597268"
"27","Arkansas","279949","75660","14.5","3.9","1934292","2246527"
"27","California","2469166","420919","10","1.6","24738606","29939021"
"27","Colorado","260225","64463","6.7","1.6","3908061","4454718"
"27","Connecticut","169582","49801","7.4","2.2","2288476","2732423"
"27","Delaware","59302","14894","9.1","2.3","652597","754637"
"27","District of Columbia","44952","13939","9.4","2.9","478804","542635"
"27","Florida","1438547","287686","10.1","2","14284365","17085385"
"27","Georgia","681991","218092","10","3.1","6811147","7955983"
"27","Hawaii","85629","33445","8.9","3.5","961648","1073229"
"27","Idaho","93444","27362","7.8","2.3","1192016","1343198"
"27","Illinois","711773","178174","9.1","2.2","7834372","9546424"
"27","Indiana","356517","94084","8.4","2.2","4262770","5015550"
"27","Iowa","108069","34259","5.3","1.7","2045045","2342905"
"27","Kansas","111264","28637","5.9","1.5","1875433","2140957"
"27","Kentucky","279006","83030","9.7","2.8","2870577","3344102"
"27","Louisiana","292959","66424","10.5","2.2","2781813","3431432"
"27","Maine","44352","21511","4.8","2.3","922590","1065620"
"27","Maryland","385354","78119","9.7","1.9","3970685","4586920"
"27","Massachusetts","231049","62973","5.2","1.4","4435239","5324065"
"27","Michigan","404268","99049","6.4","1.6","6331926","7644458"
"27","Minnesota","203225","57311","5.4","1.5","3736750","4241624"
"27","Mississippi","236085","74407","13.4","4.1","1756200","2189670"
"27","Missouri","275413","89197","7","2.3","3932084","4617880"
"27","Montana","50745","17460","6.8","2.3","750031","822204"
"27","Nebraska","103600","29440","8.5","2.4","1213842","1418191"
"27","Nevada","205944","51335","10.1","2.5","2038651","2399457"
"27","New Hampshire","76202","33070","8","3.4","953317","1073014"
"27","New Jersey","502376","131249","8.6","2.3","5835867","6776822"
"27","New Mexico","101990","25213","7.6","1.8","1341614","1589574"
"27","New York","934011","252502","7.9","2.1","11852173","14847080"
"27","North Carolina","474548","127210","7.1","1.9","6690080","8017566"
"27","North Dakota","25959","8825","5.3","1.8","489660","561016"
"27","Ohio","619796","210932","8.4","2.9","7390203","8822539"
"27","Oklahoma","350851","95989","13.9","3.8","2531768","2916436"
"27","Oregon","252294","53325","8.6","1.8","2932137","3302727"
"27","Pennsylvania","565032","177277","6.9","2.1","8240966","9776154"
"27","Rhode Island","94019","23484","13.7","3.4","688543","817559"
"27","South Carolina","307402","99969","9.2","3.1","3333572","3969123"
"27","South Dakota","38517","18598","6.7","3.2","572392","642658"
"27","Tennessee","370920","92350","8.6","2.1","4302624","5221475"
"27","Texas","2252723","432562","12.6","2.3","17857583","21356906"
"27","Utah","97947","26963","4.8","1.3","2054395","2281207"
"27","Vermont","16023","7104","3.8","1.7","417080","485485"
"27","Virginia","455906","108532","8.1","1.9","5625645","6472737"
"27","Washington","311110","71639","5.9","1.3","5291983","5890357"
"27","West Virginia","129190","40961","10.7","3.4","1208356","1379576"
"27","Wisconsin","251896","89653","6.7","2.4","3743749","4438719"
"27","Wyoming","31214","10469","8.2","2.7","378531","433400"
"27","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","287756","102740","7.2","2.5","4019542","4639589"
"27","Boston-Cambridge-Newton, MA-NH Metro Area","164061","49157","5.1","1.5","3219677","3773193"
"27","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","450699","110313","7.8","1.9","5757785","7157117"
"27","Dallas-Fort Worth-Arlington, TX Metro Area","457080","146152","9.1","2.8","5010473","5931104"
"27","Detroit-Warren-Dearborn, MI Metro Area","252777","86144","8.9","3","2835353","3525203"
"27","Houston-The Woodlands-Sugar Land, TX Metro Area","709855","193601","14.5","3.7","4885432","5762260"
"27","Los Angeles-Long Beach-Anaheim, CA Metro Area","823962","231152","9.3","2.4","8822046","10845198"
"27","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","609976","195577","15.5","4.3","3945429","4856712"
"27","New York-Newark-Jersey City, NY-NJ-PA Metro Area","1007239","235691","9","2.1","11227011","14022044"
"27","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","266547","75939","6.4","1.7","4195839","4975128"
"27","Phoenix-Mesa-Chandler, AZ Metro Area","211840","67890","6.3","2.1","3339179","3786434"
"27","Riverside-San Bernardino-Ontario, CA Metro Area","322683","116629","11.3","3.7","2854439","3649386"
"27","San Francisco-Oakland-Berkeley, CA Metro Area","266898","118518","9.4","3.8","2825448","3343143"
"27","Seattle-Tacoma-Bellevue, WA Metro Area","162607","49611","5.4","1.7","2994386","3358246"
"27","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","313434","70611","8","1.7","3896144","4482601"
"26","United States","22802022","781193","10.7","0.4","212726597","249170916"
"26","Alabama","379001","111700","12.3","3.5","3092039","3717378"
"26","Alaska","42977","11054","9.2","2.3","465033","524925"
"26","Arizona","492591","94475","10.1","1.9","4869309","5597268"
"26","Arkansas","224601","55914","12","3.1","1871051","2246527"
"26","California","2869013","374738","11.1","1.4","25921232","29939021"
"26","Colorado","413427","122254","10.3","3","4020383","4454718"
"26","Connecticut","210121","52956","9.2","2.2","2274737","2732423"
"26","Delaware","56001","15810","8.4","2.4","666419","754637"
"26","District of Columbia","41559","16801","8.8","3.5","474090","542635"
"26","Florida","1413389","261125","10","1.8","14168690","17085385"
"26","Georgia","801213","228586","12","3.4","6655490","7955983"
"26","Hawaii","52136","16038","5.5","1.7","956503","1073229"
"26","Idaho","92060","23791","7.7","2","1195169","1343198"
"26","Illinois","897420","191418","11.5","2.4","7800328","9546424"
"26","Indiana","531398","130423","12","2.9","4421884","5015550"
"26","Iowa","224271","64788","11","3.2","2035925","2342905"
"26","Kansas","170939","46672","9.3","2.5","1829193","2140957"
"26","Kentucky","343497","79349","12.1","2.7","2842515","3344102"
"26","Louisiana","481788","100479","17.4","3.4","2770237","3431432"
"26","Maine","73043","21705","7.6","2.2","967137","1065620"
"26","Maryland","400292","87055","10","2.1","4010969","4586920"
"26","Massachusetts","343253","96399","7.5","2.1","4603624","5324065"
"26","Michigan","669312","124417","10.5","1.9","6366778","7644458"
"26","Minnesota","157864","61018","4.3","1.7","3684473","4241624"
"26","Mississippi","240772","68029","13.1","3.6","1831564","2189670"
"26","Missouri","382202","93827","9.6","2.3","3963154","4617880"
"26","Montana","42139","16759","5.9","2.3","714648","822204"
"26","Nebraska","129237","30886","10.6","2.4","1221116","1418191"
"26","Nevada","252326","62889","12.4","3","2029829","2399457"
"26","New Hampshire","60634","17655","6.3","1.8","959919","1073014"
"26","New Jersey","640071","134153","11.4","2.4","5623269","6776822"
"26","New Mexico","166036","35722","12","2.5","1378073","1589574"
"26","New York","2074177","362651","16.4","2.8","12616136","14847080"
"26","North Carolina","525863","134802","7.9","2","6647455","8017566"
"26","North Dakota","45326","10697","9.1","2.1","495740","561016"
"26","Ohio","900211","210643","11.4","2.6","7875074","8822539"
"26","Oklahoma","288888","65328","11.6","2.6","2483856","2916436"
"26","Oregon","225905","38855","7.8","1.3","2897203","3302727"
"26","Pennsylvania","919997","234814","11.1","2.8","8269238","9776154"
"26","Rhode Island","60206","20801","9.1","3","664926","817559"
"26","South Carolina","292943","85021","9","2.5","3270798","3969123"
"26","South Dakota","48245","15831","8.5","2.9","567995","642658"
"26","Tennessee","394583","107644","9.2","2.4","4311744","5221475"
"26","Texas","2205909","247917","12.1","1.3","18186452","21356906"
"26","Utah","142976","39539","7.1","1.9","2008194","2281207"
"26","Vermont","34162","17398","8","4.1","427912","485485"
"26","Virginia","517984","146165","9.3","2.6","5585576","6472737"
"26","Washington","413225","93128","7.7","1.7","5334043","5890357"
"26","West Virginia","121374","36571","10.6","3.2","1140985","1379576"
"26","Wisconsin","260673","87358","6.7","2.2","3868242","4438719"
"26","Wyoming","34789","9342","8.9","2.4","390248","433400"
"26","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","403856","134275","10.8","3.5","3750710","4540067"
"26","Boston-Cambridge-Newton, MA-NH Metro Area","231717","63347","7.2","2","3197316","3686371"
"26","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","656795","166795","11.6","2.8","5650490","6959475"
"26","Dallas-Fort Worth-Arlington, TX Metro Area","860407","168078","16","2.7","5367496","6214726"
"26","Detroit-Warren-Dearborn, MI Metro Area","341889","84594","12","2.7","2846160","3480043"
"26","Houston-The Woodlands-Sugar Land, TX Metro Area","592185","111880","14.1","2.4","4213580","5282533"
"26","Los Angeles-Long Beach-Anaheim, CA Metro Area","1011616","251595","11.7","2.7","8682840","10113014"
"26","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","428226","111597","10.1","2.6","4222934","5150252"
"26","New York-Newark-Jersey City, NY-NJ-PA Metro Area","2025863","400835","16.6","3.1","12203229","14641962"
"26","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","426484","98189","10.8","2.3","3931855","4743229"
"26","Phoenix-Mesa-Chandler, AZ Metro Area","315411","83635","9.4","2.5","3352943","3889420"
"26","Riverside-San Bernardino-Ontario, CA Metro Area","470430","120722","13.3","3.3","3543689","4138205"
"26","San Francisco-Oakland-Berkeley, CA Metro Area","266128","104611","8.4","3.1","3156952","3697182"
"26","Seattle-Tacoma-Bellevue, WA Metro Area","154191","48333","5.6","1.7","2742510","3035790"
"26","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","304963","64566","7.9","1.6","3867162","4500773"
"25","United States","22481056","982907","10.5","0.4","213908796","249170916"
"25","Alabama","385683","99793","11.7","3","3283494","3717378"
"25","Alaska","49611","9828","10.5","2.1","471104","524925"
"25","Arizona","453419","112157","9.3","2.2","4872414","5597268"
"25","Arkansas","277243","57595","14.2","2.9","1950536","2246527"
"25","California","2306488","382014","9","1.4","25621198","29939021"
"25","Colorado","373318","86374","9.3","2.1","4018304","4454718"
"25","Connecticut","209016","43720","8.7","1.8","2393268","2732423"
"25","Delaware","68715","22934","10.6","3.5","649149","754637"
"25","District of Columbia","44226","12054","9.1","2.5","487044","542635"
"25","Florida","1959823","403263","13.7","2.7","14304274","17085385"
"25","Georgia","850277","189426","13","2.9","6516033","7955983"
"25","Hawaii","104853","38537","10.8","3.9","970114","1073229"
"25","Idaho","60734","18559","5.2","1.6","1173221","1343198"
"25","Illinois","808828","212860","9.9","2.5","8168416","9546424"
"25","Indiana","435965","101289","9.8","2.2","4447592","5015550"
"25","Iowa","154139","38792","7.6","1.9","2029279","2342905"
"25","Kansas","216925","41906","11.5","2.1","1882993","2140957"
"25","Kentucky","307916","68210","10.4","2.3","2954414","3344102"
"25","Louisiana","402059","98971","13.6","3.3","2945898","3431432"
"25","Maine","66578","27407","7.4","3","902235","1065620"
"25","Maryland","467408","94579","11.8","2.3","3975793","4586920"
"25","Massachusetts","404040","94985","8.9","2.1","4526564","5324065"
"25","Michigan","539315","115938","8.5","1.8","6376221","7644458"
"25","Minnesota","265430","59637","7.2","1.6","3696627","4241624"
"25","Mississippi","231417","73589","12.8","4","1801500","2189670"
"25","Missouri","364129","84648","9.2","2.1","3943178","4617880"
"25","Montana","42920","12866","5.9","1.7","731606","822204"
"25","Nebraska","105338","29322","8.6","2.4","1221714","1418191"
"25","Nevada","238539","70614","11.8","3.4","2021968","2399457"
"25","New Hampshire","82823","24794","8.7","2.5","956888","1073014"
"25","New Jersey","495222","132452","8.7","2.3","5695709","6776822"
"25","New Mexico","127313","32480","9","2.3","1418809","1589574"
"25","New York","1366272","269644","10.7","2.1","12816068","14847080"
"25","North Carolina","846220","250957","12.3","3.5","6862912","8017566"
"25","North Dakota","47379","16258","9.7","3.3","487787","561016"
"25","Ohio","660549","155417","8.6","2","7681935","8822539"
"25","Oklahoma","378179","91889","15.3","3.6","2465499","2916436"
"25","Oregon","291836","50946","9.8","1.7","2980444","3302727"
"25","Pennsylvania","706804","147891","8.3","1.7","8544915","9776154"
"25","Rhode Island","65994","24047","9.7","3.5","680325","817559"
"25","South Carolina","360420","102828","10.7","2.9","3361930","3969123"
"25","South Dakota","49074","18927","8.5","3.3","577016","642658"
"25","Tennessee","565682","114364","12.6","2.6","4480235","5221475"
"25","Texas","2664051","370580","15.2","2","17491613","21356906"
"25","Utah","202640","47314","9.9","2.3","2045691","2281207"
"25","Vermont","30506","13457","6.8","3","445881","485485"
"25","Virginia","504656","114018","8.8","2","5746824","6472737"
"25","Washington","378964","77076","7.2","1.4","5281370","5890357"
"25","West Virginia","108806","31744","9.4","2.7","1162757","1379576"
"25","Wisconsin","307171","74766","7.7","1.9","4011132","4438719"
"25","Wyoming","46139","15754","12.2","4.1","376908","433400"
"25","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","368986","114508","10.3","3","3568518","4184661"
"25","Boston-Cambridge-Newton, MA-NH Metro Area","278095","80237","8.4","2.4","3316418","3893837"
"25","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","595853","168233","10.4","2.8","5743773","6970345"
"25","Dallas-Fort Worth-Arlington, TX Metro Area","776468","178987","15.3","3.2","5066138","6156444"
"25","Detroit-Warren-Dearborn, MI Metro Area","252187","59805","8.9","2.1","2833297","3382799"
"25","Houston-The Woodlands-Sugar Land, TX Metro Area","688444","175610","16.8","3.7","4101888","5090334"
"25","Los Angeles-Long Beach-Anaheim, CA Metro Area","710725","191833","8.2","2.1","8679137","10339153"
"25","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","540145","157224","13.2","3.7","4076654","5053339"
"25","New York-Newark-Jersey City, NY-NJ-PA Metro Area","1236253","263366","10.3","2.2","12021004","14117378"
