"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Real Gross Domestic Product (GDP) (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"55000","Wisconsin",301387.6,303443.7,304920.9,305812.4,300941.2,272260.8,295510.7,298150.6,299017.1,303183.8
"56000","Wyoming",38157.9,38512.9,38862.5,38980.5,38059.1,34125.7,36364.7,36477.2,36808.8,37014.4
"91000","New England",977107.4,986917.1,992831.9,998712.2,979543.9,889412.4,959017.2,967251.5,976185.4,993019.3
"92000","Mideast",3292135.1,3322901.1,3347504.8,3367917.0,3261409.0,2998330.1,3202907.0,3249120.7,3296923.4,3353271.3
"93000","Great Lakes",2477501.8,2491681.5,2507646.1,2516419.0,2467709.1,2238178.0,2421093.4,2451576.2,2482571.9,2521653.9
"94000","Plains",1174442.3,1181256.6,1189650.0,1196170.9,1184729.0,1081385.2,1166489.1,1185651.0,1202354.9,1220431.7
"95000","Southeast",3962259.9,3985928.0,4012273.8,4028411.6,3997465.0,3625133.2,3908076.0,3951719.7,4012328.5,4070151.7
"96000","Southwest",2376621.3,2394404.7,2418070.4,2435199.8,2413835.2,2191704.0,2363320.1,2393144.3,2410457.4,2445985.6
"97000","Rocky Mountain",681437.6,687663.1,690366.1,693230.6,698631.9,635383.6,679318.1,685356.4,696295.5,706893.2
"98000","Far West",3740336.2,3779499.9,3803676.3,3815544.5,3800544.0,3454951.6,3715246.2,3731959.1,3826171.2,3900662.8
"Legend / Footnotes:"
"Real GDP is in millions of chained 2012 dollars. Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. For the All industry total and Government and government enterprises, the difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"Last updated: October 1, 2021-- new statistics for 2021:Q2; revised statistics for 2005:Q1-2021:Q1."
