overall_score_social,state,overall_score_economy,overall_score_health,total_score
17.98728335941532,WY,40.98091647574016,25.920277585145584,28.296159140100354
64.71298562270678,NV,4.639023138900423,31.13889653853011,33.4969684333791
23.696733241611323,WV,53.14222687498411,25.70424643149629,34.1810688493639
38.86409154012647,OK,47.34393685067121,16.692350455761314,34.30012628218633
57.06789711344114,LA,30.066271376093365,18.918792394956743,35.35098696149708
31.95680456291079,GA,63.32106328158056,16.82656331815299,37.36814372088144
29.060662959780316,ND,48.66970053117804,35.72887499598338,37.81974616231391
20.97971545757332,MS,78.34045390933463,15.601668580823516,38.307279315910485
41.75595515861795,PA,35.726845566501524,46.671155759466245,41.38465216152857
32.424332948685745,TN,61.86166661694273,30.638701160790887,41.64156690880645
50.024813691737066,NY,17.451898014036324,58.82408661470839,42.10026610682726
26.059555194973992,AR,81.8230581705999,19.4544175417416,42.445676969105165
57.58526896480777,AL,62.5695773833058,11.653777288489636,43.93620787886774
45.21981658674906,KY,66.58674311376664,20.593596159671,44.1333852867289
64.71920745248045,MI,29.948726789129843,39.47608152441822,44.7146719220095
47.88361356190411,TX,58.92377503463698,30.5777419266892,45.795043507743436
47.841126336422846,SC,60.66519264163122,32.10133085655704,46.869216611537034
54.08670681684062,OH,53.621152279252414,35.758685384660936,47.82218149358465
39.719965780293,WI,53.01195769908492,50.99638045594952,47.909434645109144
24.796051963318057,SD,89.07599851260761,30.75185364239629,48.20796803944066
28.65624103043217,NC,69.3212542946296,55.09197706134703,51.02315746213626
54.78874005995004,MO,66.61546610357804,31.865856752649776,51.09002097205928
45.58883146619237,MT,85.3545728967739,23.120380111395036,51.35459482478711
66.50170430754635,FL,54.85311318879064,32.9330998766303,51.4293057909891
43.21117073699512,AK,33.734570052520425,77.67940196454143,51.541714251352325
50.90757401667062,DE,45.25497095974599,59.33212735166244,51.83155744269302
85.42241857249374,NJ,19.675886622589804,50.43962614876058,51.845977114614705
54.82619886304728,RI,26.95533228156905,76.50341368170773,52.76164827544136
50.0945607367038,KS,70.77774198960634,37.71683316825449,52.86304529818821
67.17513271300395,CT,19.430973640943044,72.03750509095288,52.881203814966625
74.84115374333629,IL,27.84311204429804,57.55840732473838,53.4142243707909
53.77536733467768,AZ,81.31439796096004,29.86865649129964,54.98614059564579
39.77229879389096,ID,86.20448607435699,39.75413385450893,55.24363957425229
49.71717455157355,IA,71.16401144759773,45.09856303391098,55.326583011027424
55.96905189568209,CO,43.27983482270552,66.9199994505058,55.38962872296447
65.46513908930902,NM,52.24980623851415,48.74385604964797,55.48626712582371
61.91627669188816,CA,38.88094410599097,70.2198026710908,57.00567448965665
78.03254768181935,IN,64.31155887154515,28.791262088188244,57.045122880517575
88.7519586084681,HI,0.015306049072309,83.05077643724064,57.27268036492702
35.01455772045702,NH,52.68532039412427,85.350003716223,57.68329394360143
50.28976130500217,MN,48.28360225537572,78.13945474111067,58.904272767162844
81.63530452597661,MA,23.184117867893907,75.46563951288628,60.0950206355856
53.95420542960713,OR,49.7832220318299,78.76147333695964,60.83296693279889
62.03601536828134,VT,28.647174451462394,98.39485797724345,63.02601593232905
71.41198574969891,VA,50.29669843325476,70.20048429009184,63.9697228243485
48.85977096049455,NE,90.10854242284292,56.36151061881651,65.10994133405133
47.50173676886665,UT,88.8961522323879,61.20526070419358,65.8677165684827
84.52274016403497,MD,41.45386349502728,72.9694429021792,66.31534885374715
56.89495159056109,ME,57.97763791650098,93.40260133656874,69.4250636145436
65.2518331637105,WA,73.1421742613974,79.37141350141977,72.58847364217588
